,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,smoothing_end_date,closed,week_programm_demand,year_programm_demand,year_week_programm_demand,week_production_plan,year_production_plan,year_week_production_plan
91,53779,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,6098303,IS0014648M,177A-915LR,YP04,1,2022-09-08,2022-09-14,None,2022-09-02,10.0,LANC ARTM IMPR CCRP RIMP,A117702031,,123.493315543289,18.0,prod,0.0,3,2022-09-02,2022-09-14 06:00:00,,2022-09-14 06:00:00,False,35,2022,2022_35,37,2022,2022_37
94,53782,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,6123521,IS0028108M,107A-800VU-COA-40,YP04,1,2022-09-05,2022-09-12,None,2022-09-07,10.0,LANC ARTM IMPR CCRP ERCT MMEf RIMP,A110702036,,20.71,4.0,prod,0.0,2,2022-09-07,2022-09-12 06:00:00,,2022-09-12 06:00:00,False,36,2022,2022_36,37,2022,2022_37
95,53783,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,6113049,IS0015667M,107A-DE-820-40,YP04,1,2022-09-05,2022-09-12,None,2022-09-07,10.0,LANC ARTM IMPR CNFP CCRP ERCT MMEf RIMP,A110702036,,765.12,22.0,prod,1.0,1,2022-09-07,2022-09-12 06:00:00,,2022-09-12 06:00:00,False,36,2022,2022_36,37,2022,2022_37
96,53784,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,6098304,IS0014648M,177A-915LR,YP04,1,2022-09-19,2022-09-26,None,2022-09-13,10.0,LANC ARTM IMPR CCRP RIMP,A117702032,,123.493315543289,18.0,prod,0.0,3,2022-09-13,,,2022-09-23 09:12:00,False,37,2022,2022_37,38,2022,2022_38
97,53785,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,981235919,IS0028165M,107B-800VU-COA-40,KD,1,2022-09-20,2022-09-27,X,2022-09-20,10.0,None,A210702037,,20.71,4.0,prod,0.0,2,2022-09-20,,,2022-09-22 06:00:00,False,38,2022,2022_38,38,2022,2022_38
98,53786,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,6123445,IS0015730M,107B-DE-820-40,YP04,1,2022-09-05,2022-09-22,None,2022-09-20,10.0,LANC ARTM IMPR CCRP ERCT MMEf RIMP,A210702037,,765.12,22.0,prod,0.0,1,2022-09-20,,,2022-09-22 06:00:00,False,38,2022,2022_38,38,2022,2022_38
99,53787,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,980824321,IS0014648M,177A-915LR,KD,1,2022-09-20,2022-09-21,X,2022-09-23,15.0,None,A117702033,,123.493315543289,18.0,prod,0.0,3,2022-09-23,,,2022-10-04 12:24:00,False,38,2022,2022_38,40,2022,2022_40
100,53788,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,980824322,IS0014648M,177A-915LR,KD,1,2022-09-29,2022-09-30,X,2022-10-10,15.0,None,A117702034,,123.493315543289,18.0,prod,0.0,3,2022-10-10,,,2022-10-13 15:36:00,False,41,2022,2022_41,41,2022,2022_41
101,53789,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,981235920,IS0028165M,107B-800VU-COA-40,KD,1,2022-09-30,2022-10-07,X,2022-10-13,15.0,None,A210702038,,20.71,4.0,prod,0.0,2,2022-10-13,,,2022-10-04 06:00:00,False,41,2022,2022_41,40,2022,2022_40
102,53790,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,981235807,IS0015730M,107B-DE-820-40,KD,1,2022-09-21,2022-10-07,X,2022-10-13,15.0,None,A210702038,,765.12,22.0,prod,0.0,1,2022-10-13,,,2022-10-04 06:00:00,False,41,2022,2022_41,40,2022,2022_40
